Date,Open,High,Low,Close,Adj Close,Volume
21-05-2024,2851.199951,2883.649902,2851.199951,2872.25,2862.534668,5588064
17-05-2024,2846.100098,2874.399902,2826.5,2871.399902,2861.6875,5458238
16-05-2024,2837.100098,2855,2796.050049,2850.699951,2841.057373,7355887
15-05-2024,2841,2859.949951,2826.050049,2832.550049,2822.968994,2523267
14-05-2024,2801.949951,2854.149902,2800.050049,2840.149902,2830.542969,3594150
13-05-2024,2799.800049,2813.949951,2768,2805.399902,2795.910645,4228310
10-05-2024,2793.5,2820,2776.149902,2814.850098,2805.328857,5252548
09-05-2024,2826,2847.5,2780,2788.25,2778.818848,5504806
08-05-2024,2795,2865.899902,2795,2837.100098,2827.503662,4719501
07-05-2024,2831.949951,2841.5,2784,2802.949951,2793.468994,7258736
06-05-2024,2871,2880,2836,2839.050049,2829.447021,3697104
03-05-2024,2942,2949.899902,2832.300049,2868,2858.299072,8613479
02-05-2024,2944,2954.649902,2928.25,2933.100098,2923.178955,7256323
30-04-2024,2936,2966.149902,2925.75,2934,2924.075684,5737131
29-04-2024,2900,2935.800049,2900,2930.050049,2920.13916,3623987
26-04-2024,2927.899902,2930,2900,2905.100098,2895.273682,4706924
25-04-2024,2885,2935.949951,2883,2919.949951,2910.073242,7971963
24-04-2024,2927,2937.100098,2899,2900.350098,2890.539551,5231388
23-04-2024,2958,2987,2911.100098,2918.649902,2908.777588,7302777
22-04-2024,2944.899902,2965.649902,2935.600098,2959.699951,2949.688721,5175181
19-04-2024,2913.550049,2948,2886.050049,2940.25,2930.304688,7870889
18-04-2024,2927,2972,2918.699951,2928.649902,2918.743652,9502846
16-04-2024,2906.699951,2942.350098,2901.850098,2931.5,2921.584229,4683092
15-04-2024,2922,2964.25,2892.649902,2929.649902,2919.740234,6451031
12-04-2024,2951.75,2972.949951,2926.149902,2934.300049,2924.374756,7775506
10-04-2024,2932.699951,2974,2932.699951,2959.149902,2949.140625,4569165
09-04-2024,2978,2979.600098,2925,2927.300049,2917.398438,3535707
08-04-2024,2925.949951,2981.949951,2922,2971.949951,2961.897217,4178559
05-04-2024,2921.75,2941.600098,2912,2920.199951,2910.322266,3721149
04-04-2024,2959.5,2959.5,2900,2925.850098,2915.953369,7245136
03-04-2024,2964.149902,2968.899902,2937.800049,2943.199951,2933.244629,3504146
02-04-2024,2968,2988,2950,2973.899902,2963.840576,4455083
01-04-2024,2984.949951,2987.949951,2965,2969.550049,2959.505615,2506940
28-03-2024,2985.75,3011.899902,2957.300049,2971.699951,2961.648193,10927182
27-03-2024,2896,3000,2894,2985.699951,2975.60083,8163322
26-03-2024,2890,2904.800049,2878,2883.149902,2873.397705,5707953
22-03-2024,2899.949951,2920,2894.699951,2910.050049,2900.206787,9763804
21-03-2024,2905.050049,2915.800049,2889.350098,2901.949951,2892.134033,6503468
20-03-2024,2855.899902,2890,2848.050049,2887.5,2877.73291,4244403
19-03-2024,2857.5,2875.199951,2834.5,2850.5,2840.858154,4137882
18-03-2024,2840,2883.449951,2833.050049,2878.949951,2869.211914,4584696
15-03-2024,2851.899902,2866.449951,2825.800049,2836.449951,2826.855713,9611909
14-03-2024,2879.399902,2897.050049,2851,2862.949951,2853.266113,9285551
13-03-2024,2959.550049,2966.199951,2855.550049,2864.350098,2854.661377,6761067
12-03-2024,2933.199951,2976,2930.050049,2950.850098,2940.868896,4716339
11-03-2024,2978,2978,2927,2933.199951,2923.27832,5638565
07-03-2024,3005.949951,3006.199951,2951.100098,2957.850098,2947.845215,4157863
06-03-2024,2986.899902,3018,2957,3006,2995.832275,3902838
05-03-2024,3011.550049,3014.800049,2972.100098,3000.399902,2990.250977,3553834
04-03-2024,2980.949951,3024.899902,2974.449951,3014.800049,3004.602539,5012210
01-03-2024,2927,3000,2925,2984.25,2974.155762,6066463
29-02-2024,2930,2957.949951,2909.050049,2921.600098,2911.717773,11814488
28-02-2024,2966,2982.550049,2900.350098,2911.25,2901.402588,4323975
27-02-2024,2966.050049,2999.899902,2956.100098,2971.300049,2961.249512,5413022
26-02-2024,2987.100098,2989.050049,2965,2974.649902,2964.588135,3756553
23-02-2024,2979,2995.100098,2966.699951,2987.25,2977.145508,7219292
22-02-2024,2936.300049,2969.899902,2916,2963.5,2953.47583,9246864
21-02-2024,2948,2977.050049,2915.100098,2935.399902,2925.470947,6360146
20-02-2024,2950.050049,2951,2923.600098,2942.050049,2932.098633,3558748
19-02-2024,2924.100098,2959,2907.050049,2948,2938.02832,3364914
16-02-2024,2952.949951,2954,2917.100098,2921.149902,2911.269043,4883749
15-02-2024,2966.699951,2969.449951,2933.050049,2941.199951,2931.251221,5003391
14-02-2024,2915,2967.300049,2915,2962.75,2952.728516,3558944
13-02-2024,2911,2958,2908,2930.199951,2920.288574,3857797
12-02-2024,2921.5,2922,2884.699951,2904.699951,2894.874756,3337215
09-02-2024,2908,2943.949951,2901.899902,2921.5,2911.61792,6278399
08-02-2024,2900,2918.949951,2855.050049,2900.25,2890.439941,7347317
07-02-2024,2871.850098,2899,2858.5,2884.300049,2874.543945,4648284
06-02-2024,2883.699951,2883.699951,2839.649902,2855.600098,2845.940918,4523992
05-02-2024,2921.5,2941,2863.050049,2878.050049,2868.314941,4407216
02-02-2024,2866.350098,2949.800049,2866.350098,2915.399902,2905.538574,9826294
01-02-2024,2870,2886.699951,2836.100098,2853.300049,2843.648682,6674681
31-01-2024,2808,2868.5,2805,2853.25,2843.598877,7565113
30-01-2024,2919.899902,2919.949951,2808.850098,2815.25,2805.727295,7046989
29-01-2024,2729,2905,2720.350098,2896.100098,2886.303955,11946719
25-01-2024,2685.899902,2728.300049,2670.399902,2706.149902,2696.996338,5904436
24-01-2024,2670.449951,2699,2647.850098,2687.75,2678.658691,10959564
23-01-2024,2743.5,2743.5,2645.100098,2657.149902,2648.162109,10027710
19-01-2024,2752,2752,2718,2734.899902,2725.64917,5211352
18-01-2024,2702.800049,2742,2702.5,2735.899902,2726.645752,5139719
17-01-2024,2719,2772.550049,2710.050049,2723.149902,2713.938721,6098691
16-01-2024,2779.949951,2792.600098,2741,2749.25,2739.950684,4534512
15-01-2024,2750,2792.899902,2732,2788.25,2778.818848,4305297
12-01-2024,2719.800049,2746.649902,2691.5,2741.449951,2732.177002,7506082
11-01-2024,2659,2725,2657,2719.800049,2710.600342,11862926
10-01-2024,2577,2659,2575.050049,2650.100098,2641.13623,5551370
09-01-2024,2600,2606.800049,2577.199951,2580.5,2571.771484,2701537
08-01-2024,2610,2631.949951,2568.949951,2587.350098,2578.598389,3867326
05-01-2024,2602.899902,2619.850098,2598,2607.699951,2598.879395,4043203
04-01-2024,2588,2609.850098,2579.100098,2596.649902,2587.866699,4806389
03-01-2024,2610,2634,2577.199951,2583.300049,2574.562012,4518768
02-01-2024,2585,2615,2573,2611.699951,2602.865967,3724400
01-01-2024,2580.550049,2606.850098,2573.149902,2590.25,2581.488525,2015270
29-12-2023,2611.100098,2614,2579.300049,2584.949951,2576.206299,5432292
28-12-2023,2589.800049,2612,2586.850098,2605.550049,2596.736816,6151318
27-12-2023,2582,2599.899902,2573.100098,2586.850098,2578.100098,4602078
26-12-2023,2568,2591.949951,2562.699951,2578.050049,2569.329834,3732832
22-12-2023,2559.600098,2580.899902,2547.649902,2565.050049,2556.373779,8270892
21-12-2023,2527,2573.5,2518.25,2562.550049,2553.882324,6882727
20-12-2023,2571.050049,2598.850098,2520,2527.149902,2518.601807,8868361
19-12-2023,2555,2573.899902,2525.199951,2558.100098,2549.447266,8410302
18-12-2023,2495.600098,2534.899902,2490.949951,2521,2512.472656,7082594
15-12-2023,2478,2500,2470.050049,2495.600098,2487.158691,7966076
14-12-2023,2454,2474.949951,2442.649902,2464.149902,2455.814941,8486177
13-12-2023,2422,2438.350098,2406.300049,2433.949951,2425.717041,5015591
12-12-2023,2460,2464.949951,2420.149902,2424.050049,2415.850586,4598562
11-12-2023,2456,2467.600098,2452.399902,2459.350098,2451.03125,3533069
08-12-2023,2463.850098,2476.699951,2445,2455.75,2447.443359,5102447
07-12-2023,2460,2460.949951,2442,2457.050049,2448.739014,4071048
06-12-2023,2447.100098,2472.949951,2435,2461.100098,2452.775391,8211221
05-12-2023,2439,2440.850098,2421.649902,2437.75,2429.504395,6346812
04-12-2023,2450,2450,2398.600098,2420.199951,2412.013672,7795495
01-12-2023,2378,2396.399902,2377.600098,2394.300049,2386.201416,7171421
30-11-2023,2394.699951,2400.699951,2369.899902,2377.449951,2369.408203,14219992
29-11-2023,2408,2411.949951,2398.050049,2400.699951,2392.57959,6265653
28-11-2023,2393.899902,2399.699951,2375.25,2394.399902,2386.300781,6896087
24-11-2023,2391.600098,2402.600098,2391.050049,2393.899902,2385.80249,3374743
23-11-2023,2388.199951,2400,2388.199951,2395.5,2387.397217,4265771
22-11-2023,2375,2394.449951,2372.199951,2388.199951,2380.121826,4267407
21-11-2023,2366,2388,2360.199951,2378.899902,2370.853271,4107225
20-11-2023,2348.550049,2358.399902,2336.399902,2349.350098,2341.40332,2245093
17-11-2023,2352.899902,2373.25,2352.050049,2355.550049,2347.582275,3879317
16-11-2023,2351.100098,2374.149902,2346.949951,2360.699951,2352.714844,6567455
15-11-2023,2340,2361.949951,2327,2356.449951,2348.479248,6110324
13-11-2023,2322.899902,2324.600098,2311.699951,2314.600098,2306.770996,1927405
10-11-2023,2305.550049,2316.350098,2298.050049,2314.899902,2307.069824,3867477
09-11-2023,2335.850098,2335.899902,2304.199951,2310.550049,2302.734619,7256805
08-11-2023,2332,2341,2321.75,2335.899902,2327.998779,3942247
07-11-2023,2334.050049,2339.100098,2319.550049,2323.800049,2315.939697,3480102
06-11-2023,2332.300049,2340,2325.600098,2339,2331.088379,5323652
03-11-2023,2327.199951,2334.949951,2315.75,2319.699951,2311.853516,4425078
02-11-2023,2313.949951,2324.300049,2307.949951,2320.199951,2312.351807,5281052
01-11-2023,2289.149902,2317.5,2275.199951,2297.399902,2289.628906,5154595
31-10-2023,2328,2328,2282.899902,2287.899902,2280.161133,6404219
30-10-2023,2274,2325,2269.949951,2312.5,2304.677979,8406652
27-10-2023,2240,2273.5,2235.949951,2265.800049,2258.135986,5885542
26-10-2023,2251,2258,2220.300049,2226.5,2218.96875,7611267
25-10-2023,2250.050049,2281.199951,2243,2257.949951,2250.3125,5810344
23-10-2023,2290,2306.25,2255.25,2263.199951,2255.544678,3926981
20-10-2023,2300,2314.699951,2296.300049,2299.100098,2291.323486,4456656
19-10-2023,2312,2321.800049,2301,2306.149902,2298.349365,6016278
18-10-2023,2355.25,2367,2321,2324,2316.13916,4459160
17-10-2023,2356,2359.699951,2341.300049,2355.25,2347.283447,3964090
16-10-2023,2345,2354.550049,2336,2344.050049,2336.121338,2964518
13-10-2023,2340,2357.5,2329.149902,2349.300049,2341.353516,5075158
12-10-2023,2343.850098,2359.350098,2338.149902,2349.399902,2341.453125,6277225
11-10-2023,2314.449951,2349.699951,2313,2345.050049,2337.11792,4907059
10-10-2023,2306.550049,2317.899902,2303.75,2308.399902,2300.591797,5118016
09-10-2023,2308.100098,2311.949951,2295,2298.25,2290.476074,3788439
06-10-2023,2317.050049,2324.800049,2312.050049,2318,2310.159424,2715513
05-10-2023,2319.25,2329.399902,2309,2314.100098,2306.272705,5476841
04-10-2023,2309,2319,2295.100098,2314.149902,2306.322266,5143193
03-10-2023,2329.949951,2335.600098,2316,2318.149902,2310.308838,4429528
29-09-2023,2341.800049,2369.100098,2334.100098,2345,2337.068115,6171007
28-09-2023,2383,2383,2325,2334.100098,2326.205078,7259173
27-09-2023,2343.5,2371.800049,2338.5,2368.899902,2360.887207,5861389
26-09-2023,2338.550049,2350.199951,2335.600098,2342.5,2334.576416,5043891
25-09-2023,2350.399902,2360.699951,2335.100098,2340.449951,2332.533447,7127442
22-09-2023,2376,2382.449951,2350,2354.949951,2346.984375,9588393
21-09-2023,2374.949951,2390.100098,2360,2364.800049,2356.801025,6113091
20-09-2023,2423.050049,2427.600098,2355,2382.149902,2374.092285,28540942
18-09-2023,2440.050049,2451,2432.050049,2436.449951,2428.20874,3758150
15-09-2023,2468,2468,2449.5,2457.850098,2449.536377,12734296
14-09-2023,2460,2465.800049,2445,2453.300049,2445.001709,4604818
13-09-2023,2440,2462.649902,2426.25,2451.050049,2442.759277,6401669
12-09-2023,2483,2483,2435.949951,2438.850098,2430.600586,8127833
11-09-2023,2452,2476.850098,2452,2474.600098,2466.229736,6635537
08-09-2023,2440,2456,2422.949951,2448.199951,2439.918945,11554644
07-09-2023,2421.699951,2438.25,2411,2432,2423.773682,6826286
06-09-2023,2421.100098,2436.149902,2417.25,2428.699951,2420.484863,4100185
05-09-2023,2420,2433.949951,2412.449951,2423.600098,2415.402344,4337938
04-09-2023,2412.649902,2423.649902,2405.300049,2410.699951,2402.545654,4673813
01-09-2023,2406.550049,2425.649902,2401.649902,2412.649902,2404.489014,9056421
31-08-2023,2423,2425,2399.899902,2407,2398.858398,10819300
30-08-2023,2432,2443,2415,2418.050049,2409.871094,6084473
29-08-2023,2452.050049,2453.449951,2408.149902,2420.350098,2412.16333,8438322
28-08-2023,2472,2484,2431.100098,2443.75,2435.483887,6290413
25-08-2023,2456,2505,2442.600098,2468.350098,2460.000977,11111200
24-08-2023,2539.899902,2539.899902,2471,2479.800049,2471.412109,7070010
23-08-2023,2524.199951,2542.850098,2516.949951,2522.199951,2513.668701,4758976
22-08-2023,2516.899902,2537.949951,2499,2519.399902,2510.87793,3856522
21-08-2023,2539.949951,2555.449951,2515.649902,2520,2511.476074,4610873
18-08-2023,2531.25,2577.600098,2508.550049,2556.800049,2539.182129,9319989
17-08-2023,2567.100098,2578.100098,2532.850098,2538,2520.511475,6836872
16-08-2023,2551,2582.800049,2551,2575.149902,2557.405762,5101556
14-08-2023,2539,2582.300049,2525,2577.25,2559.491211,4787906
11-08-2023,2532.449951,2558.850098,2512.350098,2547.149902,2529.598389,11089665
10-08-2023,2524.949951,2550,2508.449951,2536.449951,2518.972412,7735299
09-08-2023,2504.850098,2529,2481.100098,2525.199951,2507.799805,5743293
08-08-2023,2528,2534.449951,2499.550049,2508.649902,2491.36377,4922036
07-08-2023,2521,2528.399902,2505,2523.850098,2506.459229,2991435
04-08-2023,2498.800049,2516,2471.600098,2509.550049,2492.257568,11442805
03-08-2023,2475.300049,2500.899902,2458.050049,2475.899902,2458.8396,5084175
02-08-2023,2509.199951,2512,2463.600098,2486.350098,2469.217773,6374107
01-08-2023,2555,2559,2505.300049,2513.199951,2495.882568,4768316
31-07-2023,2527.850098,2553.899902,2517.949951,2549.25,2531.684082,4275587
28-07-2023,2512.050049,2542.850098,2500.550049,2527.850098,2510.431885,10413926
27-07-2023,2534.050049,2537.649902,2490.350098,2502.699951,2485.454834,8613449
26-07-2023,2485,2547,2485,2526.199951,2508.792725,6455506
25-07-2023,2494,2505.199951,2480,2485.800049,2468.671387,6013010
24-07-2023,2481,2514.949951,2469.300049,2487.399902,2470.260254,11863933
21-07-2023,2609,2614.899902,2523.600098,2538.75,2521.256348,15124619
20-07-2023,2580,2630.949951,2580,2619.850098,2601.797607,19358812
19-07-2023,2612.089111,2636.087158,2581.630127,2623.026611,2604.952393,19561078
18-07-2023,2600.090088,2618.965332,2577.937988,2603.274414,2585.336182,12933656
17-07-2023,2535.480225,2598.290283,2517.943115,2581.353271,2563.566162,11110020
14-07-2023,2538.249023,2548.309814,2515.266357,2529.665283,2512.234375,7562072
13-07-2023,2569.538818,2583.476074,2526.480957,2531.788086,2514.342529,7341467
12-07-2023,2553.293945,2586.245117,2549.001953,2554.632324,2537.029297,9366917
11-07-2023,2540.925781,2556.708984,2526.803955,2551.817139,2534.233643,10034674
10-07-2023,2481.85376,2543.787109,2469.02417,2524.450195,2507.05542,16620008
07-07-2023,2432.104248,2459.748047,2425.643066,2430.812012,2414.062256,6687633
06-07-2023,2377.693359,2440.826416,2377.693359,2435.56543,2418.782959,9558993
05-07-2023,2408.106201,2408.106201,2377.462646,2385.492676,2369.055176,5124031
04-07-2023,2422.874268,2422.874268,2375.108887,2389.415527,2372.950928,4030821
03-07-2023,2361.079346,2420.105225,2358.587158,2414.290283,2397.654297,6077193
30-06-2023,2350.326416,2359.787109,2338.373535,2353.879883,2337.660156,5575777
28-06-2023,2319.498291,2342.434814,2305.514648,2334.727783,2318.640137,5677003
27-06-2023,2304.314941,2316.267578,2295.177246,2304.222656,2288.345215,4844733
26-06-2023,2313.960205,2321.713379,2297.069336,2303.391846,2287.52002,6320579
23-06-2023,2334.173828,2338.327393,2318.575195,2321.113525,2305.119629,3314285
22-06-2023,2359.187256,2375.155029,2337.035156,2340.265625,2324.139648,3809583
21-06-2023,2360.110107,2371.970703,2351.803223,2366.848145,2350.539063,3480801
20-06-2023,2351.387939,2366.571045,2339.804199,2360.202393,2343.939209,3460548
19-06-2023,2385.03125,2385.03125,2346.865234,2355.310547,2339.081055,3399277
16-06-2023,2363.063721,2383.554443,2363.063721,2378.939453,2362.547119,12085789
15-06-2023,2355.310547,2365.23291,2340.265625,2356.00293,2339.768555,5906747
14-06-2023,2326.88208,2358.26416,2323.190186,2355.356689,2339.126953,6638690
13-06-2023,2302.884277,2329.143555,2294.807861,2326.743652,2310.710938,5624008
12-06-2023,2284.885742,2297.530762,2275.194092,2292.869629,2277.070313,3195984
09-06-2023,2313.960205,2315.390869,2287.193115,2290.839111,2275.053955,2938509
08-06-2023,2313.037109,2323.051758,2299.192139,2307.176025,2291.278076,6035554
07-06-2023,2295.500244,2307.499268,2282.208984,2305.791748,2289.90332,5156272
06-06-2023,2292.223633,2296.14624,2272.425293,2288.439209,2272.67041,3746654
05-06-2023,2277.224854,2292.500488,2269.148438,2286.500977,2270.745605,5454341
02-06-2023,2280.732178,2291.669678,2262.272217,2266.148682,2250.533691,7900322
01-06-2023,2289.177734,2293.562012,2268.733154,2273.578857,2257.912598,7296346
31-05-2023,2307.499268,2316.59082,2271.502197,2279.716797,2264.008057,13553963
30-05-2023,2326.512939,2342.296387,2320.744141,2325.913086,2309.88623,5671252
